G41|ḫn,pꜣ,xn,pA|38|34
G42||42|29
G43|w|27|38
G43s||18|28
G44|ww|34|38
G45|wꜥ,wa|38|38
G46|mꜣw,mAw|28|38
G47|ṯꜣ,TA|32|38
G48||44|27
G49||38|20
G5||35|38
G50||38|28
G51||37|30
G52||38|22
G53||35|36
G54|snḏ,snD|37|31
G5s||25|27
G6||35|38
G7||27|38
G7A||43|38
G7AA||32|38
G8||29|38
G9||30|38
H1||18|20
H2|mꜣꜥ,wšm,pꜣq,mAa,wSm,pAq|38|27
H3|pꜣq,pAq|19|24
H4|nr|12|19
H5||37|11
H6|šw,Sw|11|38
H6A||17|38
H7|šꜣ,šꜣt,SA,SAt|34|32
H8||15|18
H8W||37|38
HASH||30|38
H_HASH||38|16
H_SPACE||5|15
Hmw&kA|Hmw:kA,U36:D28|24|38
I1|ꜥšꜣ,aSA|36|33
I10|ḏ,D|35|38
I11|ḏḏ,DD|36|38
I12||21|38
I13||21|38
I14||38|16
I15||36|20
I1S||35|25
I2||38|23
I3|ỉt,it,yt,jt|41|12
I4||37|31
I5||37|20
I5A||37|11
I6|km|27|17
I7||36|28
I8||28|38
I9|f|38|12
K1|ỉn,in,yn,jn|38|19
K2|bw|37|16
K3|ꜥḏ,aD|38|15
K4|ẖꜣ,XA|42|19
K5|bs|38|13
K6||20|27
K7||31|30
L1|ḫpr,xpr|24|36
L2||37|38
L3||28|38
L4||45|22
L5||38|13
L6|ḫꜣ,HA|19|18
L7||25|38
M1|ỉmꜣ,imA,ymA,jmA|15|38
M10||28|28
M11||33|13
M12|ḫꜣ,xA|12|38
M12s||10|27
M13|wꜣḏ,wḏ,wAD,wD|13|38
M14|wꜣḏ,wAD|31|38
M15|ꜣḫ,Ax|25|38
M16|ḥꜣ,HA|24|38
M17|i,ỉ,j|9|38
M17s||6|27
M18|jj,jt|12|38
M19||31|38
M2|ḥn,Hn|30|30
M20||38|38
M21||32|38
M22|nḫb,nxb|18|38
M23|sw|18|38
M23s||12|27
M24||18|38
M25||26|38
M26|šmꜥ,Sma|26|38
M27|šmꜥ,Sma|37|38
M28||26|38
M29|nḏm,nDm|7|38
M3|ḫt,xt|37|9
M30||9|38
M31||16|29
M32||12|36
M33||37|9
M34||16|38
M35||14|18
M36|ḏr,Dr|20|18
M37|ḏr,Dr|25|19
M38||37|25
M39||18|16
M4||12|38
M40|ỉz,iz,yz,jz,is,ys,js|9|38
M41||25|7
M42|wn|25|25
M43||56|38
M43A||49|38
M44||15|38
M5||14|38
M6|tr|16|38
M7||12|38
M8|šꜣ,SA|36|19
M9||37|32
N1|pt|38|11
N10||19|18
N11||38|12
N12||38|13
N12V||13|38
N13||28|27
N14|sbꜣ,sbA|23|22
N15||26|26
N16|tꜣ,tA|36|9
N17|tꜣ,tA|36|6
N18||38|8
N19||38|22
N2||33|38
N20|wḏb,wDb|38|9
N21||25|11
N22||29|11
N23||20|11
N24||37|14
N25||38|16
N26|ḏw,Dw|30|15
N27||30|22
N28|ḫꜥ,xa|28|15
N29|q|16|17
N3||28|38
N30||38|16
N31|ḥr,Hr|38|19
N32||17|24
N33||18|18
N33A||41|7
N33B||7|7
N33C||11|11
N34||25|22
N35|n|37|5
N35A|mw|37|38
N35B||37|21
N35C||37|13
N36|mỉ,mr,mi,my,mj|38|9
N37|š,S|38|12
N38|š,S|38|12
N39|š,S|38|10
N4||38|22
N40|šm,Sm|38|24
N41|ḥm,Hm|19|19
N42|ḥm,Hm|19|19
N5||18|18
N6||36|20
N7||21|38
N8|wbn|14|21
N9|psḏ,psD|18|18
O1|pr|31|16
O10||38|38
O11|ꜥḥ,aH|11|38
O12||37|38
O13||38|38
O14||33|31
O15||38|38
O16||38|26
O17||32|26
O18||33|38
O19||36|38
O2||32|38
O20||24|38
O21||22|38
O22||37|30
O23||41|38
O24||21|38
O25||12|38
O26||28|38
O27|iwn,iwn,ywn,jwn|37|32
O28||9|38
O29|ꜥꜣ,aA|38|7
O29V||7|38
O3||36|38
O30||10|38
O31||38|9
O32||25|38
O33||32|38
O34|z|37|6
O35||37|19
O36||15|38
O37||40|26
O38||28|28
O39||24|10
O4|h|23|18
O40||30|27
O41||38|19
O42|šsp,Ssp|37|19
O43|šsp,Ssp|38|11
O44||22|38
O45||19|18
O46||18|24
O47||25|11
O48||18|18
O49||18|18
O5|mr,nm|27|20
O50|zp|18|18
O51||37|31
O6||15|38
O7||15|38
O8||38|38
O9||37|38
P1||42|22
P10||37|38
P11||8|38
P13||38|8
P1A||42|22
P2||38|30
P3||38|24
P4|wḥꜥ,wHa|38|20
P44A||38|16
P5||37|38
P6|ꜥḥꜥ,aHa|12|38
P7||38|38
P8|ḫrw,xrw|7|38
P8H||38|7
P9||30|38
Q1|ꜣs,ws,st,As|18|38
Q2|ws|36|24
Q3|p|12|15
Q4||31|20
Q5||38|15
Q6||38|24
Q7||20|37
QUERY||18|28
Q_HASH||20|20
R1||38|38
R10||23|33
R11|ḏd,Dd|16|37
R12||38|24
R13||27|38
R14||12|38
R15||22|38
R16||12|38
R17||17|38
R18||22|38
R19||18|38
R2||38|38
R20||24|37
R21||16|36
R22|ḫm,xm|37|5
R23||37|9
R24||38|16
R25||27|37
R3||37|33
R4|ḥtp,Htp|36|15
R5|kp|36|12
R6||34|19
R7||16|28
R8|nṯr,nTr|15|38
R8A|nTrw|38|38
R9||16|37
REDDOT||12|12
S1||24|36
S10|mḏḥ,mdH|23|24
S106||30|9
S11|wsḫ,swx|24|20
S12|nbw|38|19
S13|nb|38|38
S14||38|38
S14A||38|38
S15||37|38
S16||22|34
S17||26|38
S17A||38|24
S18||29|36
S19||32|28
S2||38|38
S20||13|25
S21||19|18
S22|sṯ,sT|38|25
S23|dmḏ,dmD|37|25
S24|ṯz,Tz|38|8
S25||38|24
S26||23|28
S27||34|38
S28&Z2|S28:Z2|36|38
S28||36|38
S29|s,snb|8|38
S29s||6|27
S3|N|29|38
S30|sf|38|38
S31|smꜣ,smA|38|38
S32|siꜣ,siA|38|11
S33||14|38
S34|ꜥnḫ,anx|20|38
S35||28|38
S36||22|38
S37||12|38
S38|ḥqꜣ,HqA|10|38
S39|ꜥwt,awt|9|38
S4||38|38
S40|wꜣs,wAs|11|38
